address,street,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Cambria Street, Somerville MA 02145","Cambria Street","WINTER HILL",42.38766,-71.105119,1,street_center,"Cambria St",,"Somerville, MA 02143",,,"Cambria St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussc4dzzh4lvpnbd,
"Central Road, Somerville MA 02145","Central Road","WINTER HILL",42.388762,-71.102338,1,street_center,"Central Rd",,"Somerville, MA 02143",,,"Central Rd",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussgwlh4bgdlkmpg,
"Central Street 85-197, Somerville MA 02145","Central Street 85-197","WINTER HILL",42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Centre Street 85-200, Somerville MA 02145","Centre Street 85-200","WINTER HILL",42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Charles E Ryan Road, Somerville MA 02145","Charles E Ryan Road","WINTER HILL",42.395622,-71.10722,1,street_center,"Charles E Ryan Rd",,"Somerville, MA 02145",,,"Charles E Ryan Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussbl737dwkq9e5b,
"Cutler Street 12-14, Somerville MA 02145","Cutler Street 12-14","WINTER HILL",42.656603,-71.299837,0.83,street_center,"12th St",,"Lowell, MA 01850",,,"12th St",,,Lowell,MA,,"Middlesex County",01850,US,,"TIGER/Line® from the US Census Bureau",gcod_usssv9tpuuhrstn5,
"Dartmouth Street, Somerville MA 02145","Dartmouth Street","WINTER HILL",42.390146,-71.097631,1,street_center,"Dartmouth St",,"Somerville, MA 02145",,,"Dartmouth St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usskjl5sdj2g9b85,
"Direnzo Terrace, Somerville MA 02145","Direnzo Terrace","WINTER HILL",42.391639,-71.101956,1,street_center,"Direnzo Ter",,"Somerville, MA 02145",,,"Direnzo Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss5dab5vbel4su3,
"Downer Street, Somerville MA 02145","Downer Street","WINTER HILL",42.519892,-71.188754,0.8,street_center,"Toner Dr",,"Burlington, MA 01803",,,"Toner Dr",,,Burlington,MA,,"Middlesex County",01803,US,,"TIGER/Line® from the US Census Bureau",gcod_ussh2ljy6xlht65c,
"Essex Street, Somerville MA 02145","Essex Street","WINTER HILL",42.389694,-71.098163,1,street_center,"Essex St",,"Somerville, MA 02145",,,"Essex St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usslvwqepy4dnj23,
"Evergreen Avenue, Somerville MA 02145","Evergreen Avenue","WINTER HILL",42.392006,-71.097239,1,street_center,"Evergreen Ave",,"Somerville, MA 02145",,,"Evergreen Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussh64mtcz5lmeu4,
"Fairview Terrace, Somerville MA 02145","Fairview Terrace","WINTER HILL",42.39318,-71.097646,1,street_center,"Fairview Ter",,"Somerville, MA 02145",,,"Fairview Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussa8udakh6y8ugf,
"Fennell Street, Somerville MA 02145","Fennell Street","WINTER HILL",42.396359,-71.106241,1,street_center,"Fennell St",,"Somerville, MA 02145",,,"Fennell St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usscc8jx3hlspf3b,
"Fisk Avenue, Somerville MA 02145","Fisk Avenue","WINTER HILL",42.396526,-71.104811,1,street_center,"Fisk Ave",,"Somerville, MA 02145",,,"Fisk Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussp58hu6bb5weyd,
"Forster Street, Somerville MA 02145","Forster Street","WINTER HILL",42.3933,-71.099486,1,street_center,"Forster St",,"Somerville, MA 02145",,,"Forster St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usscckcu2yx6belb,
"Gibbens Street, Somerville MA 02145","Gibbens Street","WINTER HILL",42.388082,-71.104456,1,street_center,"Gibbens St",,"Somerville, MA 02143",,,"Gibbens St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussd6gyvkzczqdnd,
"Glenwood Road, Somerville MA 02145","Glenwood Road","WINTER HILL",42.393768,-71.102958,1,street_center,"Glenwood Rd",,"Somerville, MA 02145",,,"Glenwood Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqpgm76e5ygu97,
"Glover Circle, Somerville MA 02145","Glover Circle","WINTER HILL",42.396757,-71.124694,1,street_center,"Glover Cir",,"Somerville, MA 02144",,,"Glover Cir",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usssa5gyyj9snkv7,
"Gordon Street, Somerville MA 02145","Gordon Street","WINTER HILL",42.413701,-71.130667,1,street_center,"Gordon St",,"Somerville, MA 02144",,,"Gordon St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usszh7cqw77waacb,
"Henderson Street, Somerville MA 02145","Henderson Street","WINTER HILL",42.394782,-71.106415,1,street_center,"Henderson St",,"Somerville, MA 02145",,,"Henderson St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss3q38ju88rtn44,
"Hersey Street, Somerville MA 02145","Hersey Street","WINTER HILL",42.386653,-71.101781,1,street_center,"Hersey St",,"Somerville, MA 02143",,,"Hersey St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussls8ymr7mqdfpf,
"Hinckley Street, Somerville MA 02145","Hinckley Street","WINTER HILL",42.397206,-71.105286,1,street_center,"Hinckley St",,"Somerville, MA 02145",,,"Hinckley St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usstm3gbrh4jech7,
"Howe Street, Somerville MA 02145","Howe Street","WINTER HILL",42.389792,-71.095722,1,street_center,"Howe St",,"Somerville, MA 02145",,,"Howe St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussc7vp9l9vubrkg,
"Hudson Street 1-92, Somerville MA 02145","Hudson Street 1-92","WINTER HILL",42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Jackson Road, Somerville MA 02145","Jackson Road","WINTER HILL",42.389943,-71.093599,1,street_center,"Jackson Rd",,"Somerville, MA 02145",,,"Jackson Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usskqbdryscck5se,
"James Street, Somerville MA 02145","James Street","WINTER HILL",42.388059,-71.093722,1,street_center,"James St",,"Somerville, MA 02145",,,"James St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussh5ugxlgkjjxw9,
"Kenneson Road, Somerville MA 02145","Kenneson Road","WINTER HILL",42.390738,-71.091914,1,street_center,"Kenneson Rd",,"Somerville, MA 02145",,,"Kenneson Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usshrl2tezt8kskf,
"Lee Street, Somerville MA 02145","Lee Street","WINTER HILL",42.390357,-71.099338,1,street_center,"Lee St",,"Somerville, MA 02145",,,"Lee St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussrs6nsdnzmfqfg,
"Lowell Street 235-366, Somerville MA 02145","Lowell Street 235-366","WINTER HILL",42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Lowell Terrace, Somerville MA 02145","Lowell Terrace","WINTER HILL",42.395818,-71.104176,1,street_center,"Lowell Ter",,"Somerville, MA 02145",,,"Lowell Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussyddgrg4uw5nfe,
"Madison Street, Somerville MA 02145","Madison Street","WINTER HILL",42.388167,-71.099768,1,street_center,"Madison St",,"Somerville, MA 02143",,,"Madison St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usstwcveaj595zvg,
"Maple Avenue, Somerville MA 02145","Maple Avenue","WINTER HILL",42.390578,-71.095565,1,street_center,"Maple Ave",,"Somerville, MA 02145",,,"Maple Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussxm2jwm9awnqkc,
"Marshall Street, Somerville MA 02145","Marshall Street","WINTER HILL",42.39179,-71.093425,1,street_center,"Marshall St",,"Somerville, MA 02145",,,"Marshall St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss9d5krbuxwtqja,
"Medford Street 255-515, Somerville MA 02145","Medford Street 255-515","WINTER HILL",42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Miner Street, Somerville MA 02145","Miner Street","WINTER HILL",42.39201,-71.102433,1,street_center,"Miner St",,"Somerville, MA 02145",,,"Miner St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss7nzmf66lyxcch,
"Montrose Court, Somerville MA 02145","Montrose Court","WINTER HILL",42.38869,-71.099264,1,street_center,"Montrose Ct",,"Somerville, MA 02143",,,"Montrose Ct",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussvxbpmps674cz4,
"Montrose Street, Somerville MA 02145","Montrose Street","WINTER HILL",42.388874,-71.100098,1,street_center,"Montrose St",,"Somerville, MA 02143",,,"Montrose St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussusse8hbzzur5b,
"Mortimer Place, Somerville MA 02145","Mortimer Place","WINTER HILL",42.390451,-71.093995,1,street_center,"Mortimer Pl",,"Somerville, MA 02145",,,"Mortimer Pl",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usss7w9ennece87b,
"Murdock Street, Somerville MA 02145","Murdock Street","WINTER HILL",42.396336,-71.109108,1,street_center,"Murdock St",,"Somerville, MA 02145",,,"Murdock St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussajnex8vftyc62,
"Nashua Street, Somerville MA 02145","Nashua Street","WINTER HILL",42.39453,-71.1061,1,street_center,"Nashua St",,"Somerville, MA 02145",,,"Nashua St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss28hfmy924h3gc,
"Newman Place, Somerville MA 02145","Newman Place","WINTER HILL",42.395698,-71.109624,1,street_center,"Newman Pl",,"Somerville, MA 02145",,,"Newman Pl",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss99ez4zu92euy8,
"Norwood Avenue, Somerville MA 02145","Norwood Avenue","WINTER HILL",42.395862,-71.102945,1,street_center,"Norwood Ave",,"Somerville, MA 02145",,,"Norwood Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussn4caa7p7jlaaf,
"Oakland Avenue, Somerville MA 02145","Oakland Avenue","WINTER HILL",42.39175,-71.094437,1,street_center,"Oakland Ave",,"Somerville, MA 02145",,,"Oakland Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussncsatega84cpe,
"Oxford Street 1-98, Somerville MA 02145","Oxford Street 1-98","WINTER HILL",42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Partridge Avenue, Somerville MA 02145","Partridge Avenue","WINTER HILL",42.394099,-71.103465,1,street_center,"Partridge Ave",,"Somerville, MA 02145",,,"Partridge Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usske6pustx8svv6,
"Pearl Street 214-247, Somerville MA 02145","Pearl Street 214-247","WINTER HILL",42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Pembroke Court, Somerville MA 02145","Pembroke Court","WINTER HILL",42.390591,-71.100737,1,street_center,"Pembroke Ct",,"Somerville, MA 02145",,,"Pembroke Ct",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussh9l6lzv9m63la,
"Pembroke Street, Somerville MA 02145","Pembroke Street","WINTER HILL",42.390782,-71.100732,1,street_center,"Pembroke St",,"Somerville, MA 02145",,,"Pembroke St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss7kpqb72rkydq7,
"Radcliffe Road, Somerville MA 02145","Radcliffe Road","WINTER HILL",42.388347,-71.093107,1,street_center,"Radcliffe Rd",,"Somerville, MA 02145",,,"Radcliffe Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usspmskjzl2jjnp7,
"Richardson Street, Somerville MA 02145","Richardson Street","WINTER HILL",42.395529,-71.104814,1,street_center,"Richardson St",,"Somerville, MA 02145",,,"Richardson St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussxe9tm2lvqkky4,
"Richardson Terrace, Somerville MA 02145","Richardson Terrace","WINTER HILL",42.395954,-71.105006,1,street_center,"Richardson Ter",,"Somerville, MA 02145",,,"Richardson Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss6plkvhjau43z2,
"Richdale Avenue, Somerville MA 02145","Richdale Avenue","WINTER HILL",42.389067,-71.098034,1,street_center,"Richdale Ave",,"Somerville, MA 02145",,,"Richdale Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussfa79hp69gll8g,
"Roberts Street, Somerville MA 02145","Roberts Street","WINTER HILL",42.396002,-71.106493,1,street_center,"Roberts St",,"Somerville, MA 02145",,,"Roberts St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussgad28zxyqgflf,
"Robinson Street, Somerville MA 02145","Robinson Street","WINTER HILL",42.39284,-71.101734,1,street_center,"Robinson St",,"Somerville, MA 02145",,,"Robinson St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss3ua2lqjjugmrf,
"Charles Ryan Road, Somerville MA 02145","Charles Ryan Road","WINTER HILL",42.395622,-71.10722,1,street_center,"Charles E Ryan Rd",,"Somerville, MA 02145",,,"Charles E Ryan Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussbl737dwkq9e5b,
"Sargent Avenue, Somerville MA 02145","Sargent Avenue","WINTER HILL",42.390522,-71.093372,1,street_center,"Sargent Ave",,"Somerville, MA 02145",,,"Sargent Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss4mfw8rnqllx23,
"School Street 121-End, Somerville MA 02145","School Street 121-End","WINTER HILL",42.455901,-71.277611,0.74,rooftop,"12 Ent Rd",,"Hanscom AFB, MA 01731",,12,"Ent Rd",,,"Hanscom AFB",MA,,"Middlesex County",01731,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzdft5ybj5hbhd8cqc2lvcfhteg,building_centroid
"Sellon Place, Somerville MA 02145","Sellon Place","WINTER HILL",42.389171,-71.095323,1,street_center,"Sellon Pl",,"Somerville, MA 02145",,,"Sellon Pl",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss74aaxye7nnyk9,
"Sherman Court, Somerville MA 02145","Sherman Court","WINTER HILL",42.391301,-71.093199,1,street_center,"Sherman Ct",,"Somerville, MA 02145",,,"Sherman Ct",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussbbm7v9nr63f62,
"Stickney Avenue, Somerville MA 02145","Stickney Avenue","WINTER HILL",42.38904,-71.09599,1,street_center,"Stickney Ave",,"Somerville, MA 02145",,,"Stickney Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss5u73uxtudv5eb,
"Sycamore Street, Somerville MA 02145","Sycamore Street","WINTER HILL",42.388846,-71.10121,1,street_center,"Sycamore St",,"Somerville, MA 02143",,,"Sycamore St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_uss54ev8hv3au5mh,
"Sycamore Terrace, Somerville MA 02145","Sycamore Terrace","WINTER HILL",42.393411,-71.098168,1,street_center,"Sycamore Ter",,"Somerville, MA 02145",,,"Sycamore Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussmk6gy7bwj5fda,
"Tennyson Street, Somerville MA 02145","Tennyson Street","WINTER HILL",42.392585,-71.099472,1,street_center,"Tennyson St",,"Somerville, MA 02145",,,"Tennyson St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss8ph434bewl9t8,
"Thurston Street, Somerville MA 02145","Thurston Street","WINTER HILL",42.39244,-71.097078,1,street_center,"Thurston St",,"Somerville, MA 02145",,,"Thurston St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss6s8sr2cjgztpg,
"Trull Street, Somerville MA 02145","Trull Street","WINTER HILL",42.395038,-71.103618,1,street_center,"Trull St",,"Somerville, MA 02145",,,"Trull St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss7nwkxhtf49cwh,
"Vernon Street, Somerville MA 02145","Vernon Street","WINTER HILL",42.391541,-71.102362,1,street_center,"Vernon St",,"Somerville, MA 02145",,,"Vernon St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussrd48txr3kk9ch,
"Vinal Street, Somerville MA 02145","Vinal Street","WINTER HILL",42.396279,-71.105065,1,street_center,"Vinal St",,"Somerville, MA 02145",,,"Vinal St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usslkcmn6e9hzb4g,
"Waldo Street, Somerville MA 02145","Waldo Street","WINTER HILL",42.389132,-71.104048,1,street_center,"Waldo St",,"Somerville, MA 02143",,,"Waldo St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussl3nkbrfav3932,
"Walnut Road, Somerville MA 02145","Walnut Road","WINTER HILL",42.390373,-71.092443,1,street_center,"Walnut Rd",,"Somerville, MA 02145",,,"Walnut Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussm4uq6kgcdat4c,
"Walnut Street 101-185, Somerville MA 02145","Walnut Street 101-185","WINTER HILL",42.391046,-71.095146,1,place,,,"Somerville, MA 02145",,,,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",,
"Walter Terrace, Somerville MA 02145","Walter Terrace","WINTER HILL",42.389118,-71.092995,1,street_center,"Walter Ter",,"Somerville, MA 02145",,,"Walter Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usscxcvz9kuapbxa,
"Wellington Avenue, Somerville MA 02145","Wellington Avenue","WINTER HILL",42.389645,-71.090495,1,street_center,"Wellington Ave",,"Somerville, MA 02145",,,"Wellington Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussecvh4m5nlju8g,
"Westwood Road, Somerville MA 02145","Westwood Road","WINTER HILL",42.387069,-71.105483,1,street_center,"Westwood Rd",,"Somerville, MA 02143",,,"Westwood Rd",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_uss6zsk5f7y4b834,
"Willoughby Street, Somerville MA 02145","Willoughby Street","WINTER HILL",42.389582,-71.101643,1,street_center,"Willoughby St",,"Somerville, MA 02143",,,"Willoughby St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqp4hrk65s7z5d,
"Wilton Street, Somerville MA 02145","Wilton Street","WINTER HILL",42.394489,-71.105568,1,street_center,"Wilton St",,"Somerville, MA 02145",,,"Wilton St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss38hd2hwjubdhh,
"Woodbine Street, Somerville MA 02145","Woodbine Street","WINTER HILL",42.391556,-71.10578,1,street_center,"Woodbine St",,"Somerville, MA 02143",,,"Woodbine St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_uss2emjhq8tym3b5,
