address,street,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Cameron Avenue, Somerville MA 02144","Cameron Avenue","WEST SOMERVILLE",42.400826,-71.126426,1,street_center,"Cameron Ave",,"Somerville, MA 02144",,,"Cameron Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usstn27z3gyq98g8,
"Campbell Park, Somerville MA 02144","Campbell Park","WEST SOMERVILLE",42.396658,-71.12631,1,street_center,"Campbell Park",,"Somerville, MA 02144",,,"Campbell Park",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usscz2hy7ghab9v4,
"Campbell Park Place, Somerville MA 02144","Campbell Park Place","WEST SOMERVILLE",42.397251,-71.127119,1,street_center,"Campbell Park Pl",,"Somerville, MA 02144",,,"Campbell Park Pl",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussx3vk8xbbz54bf,
"Capen Court, Somerville MA 02144","Capen Court","WEST SOMERVILLE",42.414914,-71.129207,1,street_center,"Capen Ct",,"Somerville, MA 02144",,,"Capen Ct",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss8vwkll9azdvj6,
"Capen Street, Somerville MA 02144","Capen Street","WEST SOMERVILLE",42.414508,-71.13051,1,street_center,"Capen St",,"Somerville, MA 02144",,,"Capen St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss22u8jfyuzklbd,
"Chandler Street, Somerville MA 02144","Chandler Street","WEST SOMERVILLE",42.398844,-71.121878,1,street_center,"Chandler St",,"Somerville, MA 02144",,,"Chandler St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss5w7nl8pjwzln9,
"Chapel Street, Somerville MA 02144","Chapel Street","WEST SOMERVILLE",42.398962,-71.121045,1,street_center,"Chapel St",,"Somerville, MA 02144",,,"Chapel St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussfgsn6n473vm92,
"Chetwynd Road, Somerville MA 02144","Chetwynd Road","WEST SOMERVILLE",42.408061,-71.124435,1,street_center,"Chetwynd Rd",,"Somerville, MA 02144",,,"Chetwynd Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usspqdmr694cjjl5,
"Clarendon Avenue, Somerville MA 02144","Clarendon Avenue","WEST SOMERVILLE",42.403099,-71.128053,1,street_center,"Clarendon Ave",,"Somerville, MA 02144",,,"Clarendon Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqaz2tq8dmw3q4,
"Claremon Street, Somerville MA 02144","Claremon Street","WEST SOMERVILLE",42.401128,-71.127226,1,street_center,"Claremon St",,"Somerville, MA 02144",,,"Claremon St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussb7xcukkmqaaje,
"College Avenue 145-245, Somerville MA 02144","College Avenue 145-245","WEST SOMERVILLE",42.399655,-71.12255,1,place,,,"Somerville, MA 02144",,,,,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",,
"College Hill Road, Somerville MA 02144","College Hill Road","WEST SOMERVILLE",42.408953,-71.128356,1,street_center,"College Hill Rd",,"Somerville, MA 02144",,,"College Hill Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usspwx29abs9e2qh,
"Conwell Avenue, Somerville MA 02144","Conwell Avenue","WEST SOMERVILLE",42.407354,-71.126344,1,street_center,"Conwell Ave",,"Somerville, MA 02144",,,"Conwell Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussjzf89ztlef85a,
"Corinthian Road, Somerville MA 02144","Corinthian Road","WEST SOMERVILLE",42.400936,-71.123577,1,street_center,"Corinthian Rd",,"Somerville, MA 02144",,,"Corinthian Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss3rqxfv6sxrwh8,
"Curtis Avenue, Somerville MA 02144","Curtis Avenue","WEST SOMERVILLE",42.407935,-71.125973,1,street_center,"Curtis Ave",,"Somerville, MA 02144",,,"Curtis Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss5wxtgb868rwue,
"Curtis Street, Somerville MA 02144","Curtis Street","WEST SOMERVILLE",42.409005,-71.123487,1,street_center,"Curtis St",,"Somerville, MA 02144",,,"Curtis St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussehprky8lp2wa4,
"Davis Square, Somerville MA 02144","Davis Square","WEST SOMERVILLE",42.396636,-71.122463,1,street_center,"Davis Sq",,"Somerville, MA 02144",,,"Davis Sq",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss3fnl6zjrsykjc,
"Day Street, Somerville MA 02144","Day Street","WEST SOMERVILLE",42.396081,-71.122846,1,street_center,"Day St",,"Somerville, MA 02144",,,"Day St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussr2qly85s9g2ze,
"Dearborn Road, Somerville MA 02144","Dearborn Road","WEST SOMERVILLE",42.405114,-71.116898,1,street_center,"Dearborn Rd",,"Somerville, MA 02144",,,"Dearborn Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss5snkt7e8x2fbc,
"Dickson Street, Somerville MA 02144","Dickson Street","WEST SOMERVILLE",42.404387,-71.128355,1,street_center,"Dickson St",,"Somerville, MA 02144",,,"Dickson St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss8a4lu2jym76hg,
"Dover Street, Somerville MA 02144","Dover Street","WEST SOMERVILLE",42.396106,-71.124379,1,street_center,"Dover St",,"Somerville, MA 02144",,,"Dover St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussyjtwdlbf2l659,
"Dow Street, Somerville MA 02144","Dow Street","WEST SOMERVILLE",42.405973,-71.127949,1,street_center,"Dow St",,"Somerville, MA 02144",,,"Dow St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussbg7snnmfwl7k2,
"Electric Avenue, Somerville MA 02144","Electric Avenue","WEST SOMERVILLE",42.402776,-71.122921,1,street_center,"Electric Ave",,"Somerville, MA 02144",,,"Electric Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usse2lhthp2e64nb,
"Elmwood Street, Somerville MA 02144","Elmwood Street","WEST SOMERVILLE",42.398868,-71.127421,1,street_center,"Elmwood St",,"Somerville, MA 02144",,,"Elmwood St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussad446mtsllrp7,
"Elmwood Terrace, Somerville MA 02144","Elmwood Terrace","WEST SOMERVILLE",42.398892,-71.126933,1,street_center,"Elmwood Ter",,"Somerville, MA 02144",,,"Elmwood Ter",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss53e4f3ljecxk6,
"Endicott Avenue, Somerville MA 02144","Endicott Avenue","WEST SOMERVILLE",42.40421,-71.1292,1,street_center,"Endicott Ave",,"Somerville, MA 02144",,,"Endicott Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussamupbsygrqzxd,
"Fairfax Street, Somerville MA 02144","Fairfax Street","WEST SOMERVILLE",42.411561,-71.129479,1,street_center,"Fairfax St",,"Somerville, MA 02144",,,"Fairfax St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss7bnlk332q3m79,
"Fairmount Avenue, Somerville MA 02144","Fairmount Avenue","WEST SOMERVILLE",42.405114,-71.128742,1,street_center,"Fairmount Ave",,"Somerville, MA 02144",,,"Fairmount Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussz8668gj4mcls7,
"Farragut Avenue, Somerville MA 02144","Farragut Avenue","WEST SOMERVILLE",42.403847,-71.13089,1,street_center,"Farragut Ave",,"Somerville, MA 02144",,,"Farragut Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussgckylq6a727ka,
"Garrison Avenue, Somerville MA 02144","Garrison Avenue","WEST SOMERVILLE",42.40433,-71.131519,1,street_center,"Garrison Ave",,"Somerville, MA 02144",,,"Garrison Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussy3j2bslyhymwa,
"Glendale Avenue, Somerville MA 02144","Glendale Avenue","WEST SOMERVILLE",42.399595,-71.128904,1,street_center,"Glendale Ave",,"Somerville, MA 02144",,,"Glendale Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussuk8r8f2ej6e8f,
"Gorham Street, Somerville MA 02144","Gorham Street","WEST SOMERVILLE",42.39808,-71.12658,1,street_center,"Gorham St",,"Somerville, MA 02144",,,"Gorham St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussf3ecx83yv5yg9,
"Hamilton Road, Somerville MA 02144","Hamilton Road","WEST SOMERVILLE",42.406219,-71.128986,1,street_center,"Hamilton Rd",,"Somerville, MA 02144",,,"Hamilton Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussmb7qct9xx6ev5,
"Hamilton Street, Somerville MA 02144","Hamilton Street","WEST SOMERVILLE",42.406219,-71.128986,0.95,street_center,"Hamilton Rd",,"Somerville, MA 02144",,,"Hamilton Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussmb7qct9xx6ev5,
"Hardan Road, Somerville MA 02144","Hardan Road","WEST SOMERVILLE",42.405595,-71.127057,1,street_center,"Hardan Rd",,"Somerville, MA 02144",,,"Hardan Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussz6vxtlmzmpl54,
"Harold Road, Somerville MA 02144","Harold Road","WEST SOMERVILLE",42.376557,-71.102199,0.95,street_center,"Harold St",,"Somerville, MA 02143",,,"Harold St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usse4nxkgayger3h,
"Harrison Road, Somerville MA 02144","Harrison Road","WEST SOMERVILLE",42.398493,-71.127303,1,street_center,"Harrison Rd",,"Somerville, MA 02144",,,"Harrison Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussvwseguq9tuqb2,
"Herbert Street, Somerville MA 02144","Herbert Street","WEST SOMERVILLE",42.39538,-71.122851,1,street_center,"Herbert St",,"Somerville, MA 02144",,,"Herbert St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqusyduensenf3,
"High Street, Somerville MA 02144","High Street","WEST SOMERVILLE",42.410527,-71.13028,1,street_center,"High St",,"Somerville, MA 02144",,,"High St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussypfq2g77g3st5,
"Hill Street, Somerville MA 02144","Hill Street","WEST SOMERVILLE",42.404104,-71.127819,1,street_center,"Hill St",,"Somerville, MA 02144",,,"Hill St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussgr53ea995akt9,
"Hillsdale Road, Somerville MA 02144","Hillsdale Road","WEST SOMERVILLE",42.408994,-71.126343,1,street_center,"Hillsdale Rd",,"Somerville, MA 02144",,,"Hillsdale Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss8jvlvvbykhsqb,
"Holland Street, Somerville MA 02144","Holland Street","WEST SOMERVILLE",42.398048,-71.12378,1,street_center,"Holland St",,"Somerville, MA 02144",,,"Holland St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss97cdthyjg6qd7,
"Hooker Avenue, Somerville MA 02144","Hooker Avenue","WEST SOMERVILLE",42.402698,-71.131773,1,street_center,"Hooker Ave",,"Somerville, MA 02144",,,"Hooker Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussx9xacn4hk74b2,
"Howard Street, Somerville MA 02144","Howard Street","WEST SOMERVILLE",42.397864,-71.126337,1,street_center,"Howard St",,"Somerville, MA 02144",,,"Howard St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usskkjcvqp8f23x7,
"Irving Street, Somerville MA 02144","Irving Street","WEST SOMERVILLE",42.399891,-71.122802,1,street_center,"Irving St",,"Somerville, MA 02144",,,"Irving St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussfmxeyshpj3cpe,
"Irvington Road, Somerville MA 02144","Irvington Road","WEST SOMERVILLE",42.415211,-71.12849,1,street_center,"Irvington Rd",,"Somerville, MA 02144",,,"Irvington Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussyzvllbwpy7xrh,
"Jay Street, Somerville MA 02144","Jay Street","WEST SOMERVILLE",42.398503,-71.12532,1,street_center,"Jay St",,"Somerville, MA 02144",,,"Jay St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss42zfzfuk2aep5,
"Jerome Street, Somerville MA 02144","Jerome Street","WEST SOMERVILLE",42.38914,-71.100246,1,street_center,"Jerome St",,"Somerville, MA 02143",,,"Jerome St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_uss778dyl37ps3j4,
"Kenwood Street, Somerville MA 02144","Kenwood Street","WEST SOMERVILLE",42.400173,-71.11878,1,street_center,"Kenwood St",,"Somerville, MA 02144",,,"Kenwood St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqbgyx4t79rsle,
"Kingston Street, Somerville MA 02144","Kingston Street","WEST SOMERVILLE",42.397057,-71.125906,1,street_center,"Kingston St",,"Somerville, MA 02144",,,"Kingston St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussss2hthf7yh2s2,
"Latin Way, Somerville MA 02144","Latin Way","WEST SOMERVILLE",42.405772,-71.120566,0.95,street_center,"Latin Way",,"Medford, MA 02155",,,"Latin Way",,,Medford,MA,,"Middlesex County",02155,US,,"TIGER/Line® from the US Census Bureau",gcod_ussb879zc2xmdvj7,
"Leonard Street, Somerville MA 02144","Leonard Street","WEST SOMERVILLE",42.401436,-71.120565,1,street_center,"Leonard St",,"Somerville, MA 02144",,,"Leonard St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss9bwzetkr9a6rf,
"Lester Terrace, Somerville MA 02144","Lester Terrace","WEST SOMERVILLE",42.397017,-71.125041,1,street_center,"Lester Ter",,"Somerville, MA 02144",,,"Lester Ter",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussttv2z7qh2wkqf,
"Locke Street, Somerville MA 02144","Locke Street","WEST SOMERVILLE",42.380033,-71.098376,1,street_center,"Lake St",,"Somerville, MA 02143",,,"Lake St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussubssghe7nn2b7,
"Lovell Street, Somerville MA 02144","Lovell Street","WEST SOMERVILLE",42.403156,-71.125352,1,street_center,"Lovell St",,"Somerville, MA 02144",,,"Lovell St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss56pn57y5hdkl8,
"Malvern Avenue, Somerville MA 02144","Malvern Avenue","WEST SOMERVILLE",42.400009,-71.128463,1,street_center,"Malvern Ave",,"Somerville, MA 02144",,,"Malvern Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usss6zc2lxteujja,
"Mason Street, Somerville MA 02144","Mason Street","WEST SOMERVILLE",42.402272,-71.122133,1,street_center,"Mason St",,"Somerville, MA 02144",,,"Mason St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqxcl64qp3dbx2,
"Meacham Road, Somerville MA 02144","Meacham Road","WEST SOMERVILLE",42.396877,-71.123463,1,street_center,"Meacham Rd",,"Somerville, MA 02144",,,"Meacham Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussq6fnb8y263qxe,
"Mead Street, Somerville MA 02144","Mead Street","WEST SOMERVILLE",42.400352,-71.127727,1,street_center,"Mead St",,"Somerville, MA 02144",,,"Mead St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussux7ugdw9vllgc,
"Milton Street, Somerville MA 02144","Milton Street","WEST SOMERVILLE",42.393179,-71.123552,1,street_center,"Milton St",,"Somerville, MA 02144",,,"Milton St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqbhnrtfgh89pg,
"Moore Street, Somerville MA 02144","Moore Street","WEST SOMERVILLE",42.401634,-71.12767,1,street_center,"Moore St",,"Somerville, MA 02144",,,"Moore St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussau757t5lx9ln7,
"Mystic Valley Pkwy, Somerville MA 02144","Mystic Valley Pkwy","WEST SOMERVILLE",42.417637,-71.127755,1,street_center,"Mystic Valley Pkwy",,"Somerville, MA 02144",,,"Mystic Valley Pkwy",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussswf2n7kqbcqk4,
"Newberne Street, Somerville MA 02144","Newberne Street","WEST SOMERVILLE",42.396346,-71.116425,1,street_center,"Newberne St",,"Somerville, MA 02144",,,"Newberne St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussshsz2rkp2msnc,
"Newbury Street, Somerville MA 02144","Newbury Street","WEST SOMERVILLE",42.400652,-71.129913,1,street_center,"Newbury St",,"Somerville, MA 02144",,,"Newbury St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usswqsj3el9pd8t8,
"North Street, Somerville MA 02144","North Street","WEST SOMERVILLE",42.410469,-71.128261,1,street_center,"North St",,"Somerville, MA 02144",,,"North St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussn6ymppadx5mv8,
"Ossipee Road, Somerville MA 02144","Ossipee Road","WEST SOMERVILLE",42.403391,-71.122791,1,street_center,"Ossipee Rd",,"Somerville, MA 02144",,,"Ossipee Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usscemu9chkad4zg,
"Packard Avenue, Somerville MA 02144","Packard Avenue","WEST SOMERVILLE",42.405805,-71.122576,1,street_center,"Packard Ave",,"Somerville, MA 02144",,,"Packard Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usslgrx33czh2wsh,
"Park Avenue, Somerville MA 02144","Park Avenue","WEST SOMERVILLE",42.398306,-71.123299,1,street_center,"Park Ave",,"Somerville, MA 02144",,,"Park Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussn54dbvr2k2883,
"Paulina Street, Somerville MA 02144","Paulina Street","WEST SOMERVILLE",42.400854,-71.124487,1,street_center,"Paulina St",,"Somerville, MA 02144",,,"Paulina St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussfg5u27bl2aqaf,
"Powder House Blvd, Somerville MA 02144","Powder House Blvd","WEST SOMERVILLE",42.404058,-71.122569,1,street_center,"Powder House Blvd",,"Somerville, MA 02144",,,"Powder House Blvd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussf365ke27npl35,
"Professors Row, Somerville MA 02144","Professors Row","WEST SOMERVILLE",42.406441,-71.121116,0.95,street_center,"Professors Row",,"Medford, MA 02155",,,"Professors Row",,,Medford,MA,,"Middlesex County",02155,US,,"TIGER/Line® from the US Census Bureau",gcod_ussca9q6qgw2tlcb,
"Raymond Avenue, Somerville MA 02144","Raymond Avenue","WEST SOMERVILLE",42.407111,-71.127663,1,street_center,"Raymond Ave",,"Somerville, MA 02144",,,"Raymond Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss6tf4jumjb8uw3,
"Russell Road, Somerville MA 02144","Russell Road","WEST SOMERVILLE",42.405075,-71.129353,1,street_center,"Russell Rd",,"Somerville, MA 02144",,,"Russell Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussa5w9wbhe3ukue,
"Sawyer Avenue, Somerville MA 02144","Sawyer Avenue","WEST SOMERVILLE",42.406115,-71.122499,0.95,street_center,"Sawyer Ave",,"Medford, MA 02155",,,"Sawyer Ave",,,Medford,MA,,"Middlesex County",02155,US,,"TIGER/Line® from the US Census Bureau",gcod_uss8xuffduypj3c7,
"Simpson Avenue, Somerville MA 02144","Simpson Avenue","WEST SOMERVILLE",42.400713,-71.12296,1,street_center,"Simpson Ave",,"Somerville, MA 02144",,,"Simpson Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussult3ydg7f9mha,
"Summit Street, Somerville MA 02144","Summit Street","WEST SOMERVILLE",42.399688,-71.119383,1,street_center,"Summit St",,"Somerville, MA 02144",,,"Summit St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usscrdahdez49tf5,
"Sunset Road, Somerville MA 02144","Sunset Road","WEST SOMERVILLE",42.408927,-71.125251,1,street_center,"Sunset Rd",,"Somerville, MA 02144",,,"Sunset Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussj9fnf5jvrlk9e,
"Talbot Avenue, Somerville MA 02144","Talbot Avenue","WEST SOMERVILLE",42.40477,-71.118709,0.95,street_center,"Talbot Ave",,"Medford, MA 02155",,,"Talbot Ave",,,Medford,MA,,"Middlesex County",02155,US,,"TIGER/Line® from the US Census Bureau",gcod_usslcncq48qg2442,
"Tannery Brook Row, Somerville MA 02144","Tannery Brook Row","WEST SOMERVILLE",42.398215,-71.127649,1,street_center,"Tannery Brook Row",,"Somerville, MA 02144",,,"Tannery Brook Row",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussar3j6vjktu9bc,
"Teele Avenue, Somerville MA 02144","Teele Avenue","WEST SOMERVILLE",42.40541,-71.123972,1,street_center,"Teele Ave",,"Somerville, MA 02144",,,"Teele Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_ussnmmavw39bxj6f,
