address,street,num,school,range_low,range_high
"99 Garrison Avenue, Somerville MA",Garrison Avenue,99,WEST SOMERVILLE,1,99
"1 Glendale Avenue, Somerville MA",Glendale Avenue,1,WEST SOMERVILLE,1,99
"26 Glendale Avenue, Somerville MA",Glendale Avenue,26,WEST SOMERVILLE,1,99
"50 Glendale Avenue, Somerville MA",Glendale Avenue,50,WEST SOMERVILLE,1,99
"74 Glendale Avenue, Somerville MA",Glendale Avenue,74,WEST SOMERVILLE,1,99
"99 Glendale Avenue, Somerville MA",Glendale Avenue,99,WEST SOMERVILLE,1,99
"1 Gorham Street, Somerville MA",Gorham Street,1,WEST SOMERVILLE,1,99
"26 Gorham Street, Somerville MA",Gorham Street,26,WEST SOMERVILLE,1,99
"50 Gorham Street, Somerville MA",Gorham Street,50,WEST SOMERVILLE,1,99
"74 Gorham Street, Somerville MA",Gorham Street,74,WEST SOMERVILLE,1,99
"99 Gorham Street, Somerville MA",Gorham Street,99,WEST SOMERVILLE,1,99
"1 Hamilton Road, Somerville MA",Hamilton Road,1,WEST SOMERVILLE,1,99
"26 Hamilton Road, Somerville MA",Hamilton Road,26,WEST SOMERVILLE,1,99
"50 Hamilton Road, Somerville MA",Hamilton Road,50,WEST SOMERVILLE,1,99
"74 Hamilton Road, Somerville MA",Hamilton Road,74,WEST SOMERVILLE,1,99
"99 Hamilton Road, Somerville MA",Hamilton Road,99,WEST SOMERVILLE,1,99
"1 Hardan Road, Somerville MA",Hardan Road,1,WEST SOMERVILLE,1,99
"26 Hardan Road, Somerville MA",Hardan Road,26,WEST SOMERVILLE,1,99
"50 Hardan Road, Somerville MA",Hardan Road,50,WEST SOMERVILLE,1,99
"74 Hardan Road, Somerville MA",Hardan Road,74,WEST SOMERVILLE,1,99
"99 Hardan Road, Somerville MA",Hardan Road,99,WEST SOMERVILLE,1,99
"1 Harrison Road, Somerville MA",Harrison Road,1,WEST SOMERVILLE,1,99
"26 Harrison Road, Somerville MA",Harrison Road,26,WEST SOMERVILLE,1,99
"50 Harrison Road, Somerville MA",Harrison Road,50,WEST SOMERVILLE,1,99
"74 Harrison Road, Somerville MA",Harrison Road,74,WEST SOMERVILLE,1,99
"99 Harrison Road, Somerville MA",Harrison Road,99,WEST SOMERVILLE,1,99
"1 Herbert Street, Somerville MA",Herbert Street,1,WEST SOMERVILLE,1,99
"26 Herbert Street, Somerville MA",Herbert Street,26,WEST SOMERVILLE,1,99
"50 Herbert Street, Somerville MA",Herbert Street,50,WEST SOMERVILLE,1,99
"74 Herbert Street, Somerville MA",Herbert Street,74,WEST SOMERVILLE,1,99
"99 Herbert Street, Somerville MA",Herbert Street,99,WEST SOMERVILLE,1,99
"1 High Street, Somerville MA",High Street,1,WEST SOMERVILLE,1,99
"26 High Street, Somerville MA",High Street,26,WEST SOMERVILLE,1,99
"50 High Street, Somerville MA",High Street,50,WEST SOMERVILLE,1,99
"74 High Street, Somerville MA",High Street,74,WEST SOMERVILLE,1,99
"99 High Street, Somerville MA",High Street,99,WEST SOMERVILLE,1,99
"1 Hill Street, Somerville MA",Hill Street,1,WEST SOMERVILLE,1,99
"26 Hill Street, Somerville MA",Hill Street,26,WEST SOMERVILLE,1,99
"50 Hill Street, Somerville MA",Hill Street,50,WEST SOMERVILLE,1,99
"74 Hill Street, Somerville MA",Hill Street,74,WEST SOMERVILLE,1,99
"99 Hill Street, Somerville MA",Hill Street,99,WEST SOMERVILLE,1,99
"89 Hillsdale Road, Somerville MA",Hillsdale Road,89,WEST SOMERVILLE,89,199
"116 Hillsdale Road, Somerville MA",Hillsdale Road,116,WEST SOMERVILLE,89,199
"144 Hillsdale Road, Somerville MA",Hillsdale Road,144,WEST SOMERVILLE,89,199
"172 Hillsdale Road, Somerville MA",Hillsdale Road,172,WEST SOMERVILLE,89,199
"199 Hillsdale Road, Somerville MA",Hillsdale Road,199,WEST SOMERVILLE,89,199
"1 Holland Street, Somerville MA",Holland Street,1,WEST SOMERVILLE,1,299
"51 Holland Street, Somerville MA",Holland Street,51,WEST SOMERVILLE,1,299
"100 Holland Street, Somerville MA",Holland Street,100,WEST SOMERVILLE,1,299
"150 Holland Street, Somerville MA",Holland Street,150,WEST SOMERVILLE,1,299
"200 Holland Street, Somerville MA",Holland Street,200,WEST SOMERVILLE,1,299
"249 Holland Street, Somerville MA",Holland Street,249,WEST SOMERVILLE,1,299
"299 Holland Street, Somerville MA",Holland Street,299,WEST SOMERVILLE,1,299
"1 Hooker Avenue, Somerville MA",Hooker Avenue,1,WEST SOMERVILLE,1,99
"26 Hooker Avenue, Somerville MA",Hooker Avenue,26,WEST SOMERVILLE,1,99
"50 Hooker Avenue, Somerville MA",Hooker Avenue,50,WEST SOMERVILLE,1,99
"74 Hooker Avenue, Somerville MA",Hooker Avenue,74,WEST SOMERVILLE,1,99
"99 Hooker Avenue, Somerville MA",Hooker Avenue,99,WEST SOMERVILLE,1,99
"1 Howard Street, Somerville MA",Howard Street,1,WEST SOMERVILLE,1,99
"26 Howard Street, Somerville MA",Howard Street,26,WEST SOMERVILLE,1,99
"50 Howard Street, Somerville MA",Howard Street,50,WEST SOMERVILLE,1,99
"74 Howard Street, Somerville MA",Howard Street,74,WEST SOMERVILLE,1,99
"99 Howard Street, Somerville MA",Howard Street,99,WEST SOMERVILLE,1,99
"1 Irving Street, Somerville MA",Irving Street,1,WEST SOMERVILLE,1,99
"26 Irving Street, Somerville MA",Irving Street,26,WEST SOMERVILLE,1,99
"50 Irving Street, Somerville MA",Irving Street,50,WEST SOMERVILLE,1,99
"74 Irving Street, Somerville MA",Irving Street,74,WEST SOMERVILLE,1,99
"99 Irving Street, Somerville MA",Irving Street,99,WEST SOMERVILLE,1,99
"1 Irvington Road, Somerville MA",Irvington Road,1,WEST SOMERVILLE,1,99
"26 Irvington Road, Somerville MA",Irvington Road,26,WEST SOMERVILLE,1,99
"50 Irvington Road, Somerville MA",Irvington Road,50,WEST SOMERVILLE,1,99
"74 Irvington Road, Somerville MA",Irvington Road,74,WEST SOMERVILLE,1,99
"99 Irvington Road, Somerville MA",Irvington Road,99,WEST SOMERVILLE,1,99
"1 Jay Street, Somerville MA",Jay Street,1,WEST SOMERVILLE,1,99
"26 Jay Street, Somerville MA",Jay Street,26,WEST SOMERVILLE,1,99
"50 Jay Street, Somerville MA",Jay Street,50,WEST SOMERVILLE,1,99
"74 Jay Street, Somerville MA",Jay Street,74,WEST SOMERVILLE,1,99
"99 Jay Street, Somerville MA",Jay Street,99,WEST SOMERVILLE,1,99
"1 Jerome Street, Somerville MA",Jerome Street,1,WEST SOMERVILLE,1,99
"26 Jerome Street, Somerville MA",Jerome Street,26,WEST SOMERVILLE,1,99
"50 Jerome Street, Somerville MA",Jerome Street,50,WEST SOMERVILLE,1,99
"74 Jerome Street, Somerville MA",Jerome Street,74,WEST SOMERVILLE,1,99
"99 Jerome Street, Somerville MA",Jerome Street,99,WEST SOMERVILLE,1,99
"1 Kenwood Street, Somerville MA",Kenwood Street,1,WEST SOMERVILLE,1,99
"26 Kenwood Street, Somerville MA",Kenwood Street,26,WEST SOMERVILLE,1,99
"50 Kenwood Street, Somerville MA",Kenwood Street,50,WEST SOMERVILLE,1,99
"74 Kenwood Street, Somerville MA",Kenwood Street,74,WEST SOMERVILLE,1,99
"99 Kenwood Street, Somerville MA",Kenwood Street,99,WEST SOMERVILLE,1,99
"1 Kingston Street, Somerville MA",Kingston Street,1,WEST SOMERVILLE,1,99
"26 Kingston Street, Somerville MA",Kingston Street,26,WEST SOMERVILLE,1,99
"50 Kingston Street, Somerville MA",Kingston Street,50,WEST SOMERVILLE,1,99
"74 Kingston Street, Somerville MA",Kingston Street,74,WEST SOMERVILLE,1,99
"99 Kingston Street, Somerville MA",Kingston Street,99,WEST SOMERVILLE,1,99
"1 Leonard Street, Somerville MA",Leonard Street,1,WEST SOMERVILLE,1,99
"26 Leonard Street, Somerville MA",Leonard Street,26,WEST SOMERVILLE,1,99
"50 Leonard Street, Somerville MA",Leonard Street,50,WEST SOMERVILLE,1,99
"74 Leonard Street, Somerville MA",Leonard Street,74,WEST SOMERVILLE,1,99
"99 Leonard Street, Somerville MA",Leonard Street,99,WEST SOMERVILLE,1,99
"1 Lester Terrace, Somerville MA",Lester Terrace,1,WEST SOMERVILLE,1,99
"26 Lester Terrace, Somerville MA",Lester Terrace,26,WEST SOMERVILLE,1,99
"50 Lester Terrace, Somerville MA",Lester Terrace,50,WEST SOMERVILLE,1,99
"74 Lester Terrace, Somerville MA",Lester Terrace,74,WEST SOMERVILLE,1,99
"99 Lester Terrace, Somerville MA",Lester Terrace,99,WEST SOMERVILLE,1,99
"1 Lovell Street, Somerville MA",Lovell Street,1,WEST SOMERVILLE,1,99
"26 Lovell Street, Somerville MA",Lovell Street,26,WEST SOMERVILLE,1,99
"50 Lovell Street, Somerville MA",Lovell Street,50,WEST SOMERVILLE,1,99
"74 Lovell Street, Somerville MA",Lovell Street,74,WEST SOMERVILLE,1,99
"99 Lovell Street, Somerville MA",Lovell Street,99,WEST SOMERVILLE,1,99
"1 Malvern Avenue, Somerville MA",Malvern Avenue,1,WEST SOMERVILLE,1,99
"26 Malvern Avenue, Somerville MA",Malvern Avenue,26,WEST SOMERVILLE,1,99
"50 Malvern Avenue, Somerville MA",Malvern Avenue,50,WEST SOMERVILLE,1,99
"74 Malvern Avenue, Somerville MA",Malvern Avenue,74,WEST SOMERVILLE,1,99
"99 Malvern Avenue, Somerville MA",Malvern Avenue,99,WEST SOMERVILLE,1,99
"1 Mason Street, Somerville MA",Mason Street,1,WEST SOMERVILLE,1,99
"26 Mason Street, Somerville MA",Mason Street,26,WEST SOMERVILLE,1,99
"50 Mason Street, Somerville MA",Mason Street,50,WEST SOMERVILLE,1,99
"74 Mason Street, Somerville MA",Mason Street,74,WEST SOMERVILLE,1,99
"99 Mason Street, Somerville MA",Mason Street,99,WEST SOMERVILLE,1,99
"23 Meacham Road, Somerville MA",Meacham Road,23,WEST SOMERVILLE,23,99
"48 Meacham Road, Somerville MA",Meacham Road,48,WEST SOMERVILLE,23,99
"74 Meacham Road, Somerville MA",Meacham Road,74,WEST SOMERVILLE,23,99
"99 Meacham Road, Somerville MA",Meacham Road,99,WEST SOMERVILLE,23,99
"1 Mead Street, Somerville MA",Mead Street,1,WEST SOMERVILLE,1,99
"26 Mead Street, Somerville MA",Mead Street,26,WEST SOMERVILLE,1,99
